Date, Open, High, Low, Close, Volume
6/12/2020,127.44,127.88,122.8,125.34,5994757
6/11/2020,126.77,128.66,123.81,124.11,6867784
6/10/2020,132.73,132.75,130.83,130.97,3892230
6/9/2020,132.08,132.95,131.24,132.21,4344916
6/8/2020,132.01,133.3,132.01,133.25,3502454
6/5/2020,131.23,131.9887,130.58,131.25,5844661
6/4/2020,128.53,129.31,127.5,128.18,4985779
6/3/2020,127.06,129.23,127.06,128.83,5531065
6/2/2020,125.93,126.44,125.28,126.44,4226686
6/1/2020,124.34,125.82,124.24,125.37,3331277
5/29/2020,123.7,124.64,122.75,124.19,6507996
5/28/2020,125.63,126.08,123.405,123.74,3646981
5/27/2020,124.62,125.28,122.1,125.26,5765629
5/26/2020,124.44,124.75,122.97,123.15,4564260
5/22/2020,121.36,121.56,120.3,121.23,3821024
5/21/2020,121.28,122.07,119.94,121.41,4558596
5/20/2020,121.39,121.4188,120.23,120.98,3854136
5/19/2020,119.59,121.41,119.13,119.42,5256835
5/18/2020,118.64,120.398,118.52,119.85,5117037
5/15/2020,113.22,115.5,112.84,115.48,6278256
5/14/2020,111.09,114.2,110.06,114.15,5718373
5/13/2020,114.27,114.92,111.35,112.47,6681084
5/12/2020,117.5,117.77,114.38,114.44,5972398
5/11/2020,116.24,117.96,116.08,117,4043612
5/8/2020,116.49,117.37,115.85,117.26,3936588
5/7/2020,114.65,115.59,114.5975,115.02,5333595
5/6/2020,114,114.48,113.075,113.24,3905014
5/5/2020,114.35,114.69,113.02,113.26,4546841
5/4/2020,110.76,112.9,110.12,112.85,4606904
5/1/2020,113.02,113.94,111.37,112.24,6276608
4/30/2020,116.48,117.3,115.3988,116.6,5053528
4/29/2020,117.03,118.21,116.38,117.33,4998795
4/28/2020,116.49,116.9,114.22,114.8,4729440
4/27/2020,113.4,115.09,113.29,114.35,4119671
4/24/2020,111.52,112.75,110.495,112.25,2914498
4/23/2020,110.96,112.02,109.98,110.38,4129555
4/22/2020,110.09,111.18,109.47,110.41,3385690
4/21/2020,109.11,109.83,107.24,108.08,4327909
4/20/2020,111.7,113.19,110.7701,110.96,3413066
4/17/2020,112.36,113.2,110.97,112.93,4383922
4/16/2020,108.84,111,107.8,109.69,4609191
4/15/2020,108.07,109.14,107.08,108.39,3808761
4/14/2020,108.88,111.03,108.37,110.82,5744700
4/13/2020,106.26,107.05,104.65,106.65,3411719
4/9/2020,106.3,108.44,105.6517,106.68,5322906
4/8/2020,102.83,105.21,102.09,104.79,4165482
4/7/2020,104.73,105.505,101.37,101.59,7009093
4/6/2020,95.79,100.63,95.79,100.1,5301440
4/3/2020,93.48,93.95,91.23,92.41,5180054
4/2/2020,93.15,95.48,91.98,94.05,5998824
4/1/2020,94.35,95.95,92.87,93.7,6758401
3/31/2020,99.23,100.69,97.82,98.08,5152333
3/30/2020,98.64,100.49,96.925,100.1,6660260
3/27/2020,98.36,100.64,96.89,98.05,5131145
3/26/2020,98.48,102.1,98.01,101.45,6495561
3/25/2020,97.44,101.07,95.03,97.42,9998946
3/24/2020,92.34,95.895,91.95,95.74,10373690
3/23/2020,86.86,89.31,84.66,87.53,7654169
3/20/2020,91.56,94.47,87.66,87.81,12891720
3/19/2020,87.08,93.06,84.19,90.5,7442125
3/18/2020,86.82,89.12,81.7378,87.45,13828880
3/17/2020,91.34,94.73,86.245,92.78,13567050
3/16/2020,91.05,95.85,88.64,89.34,8408900
3/13/2020,101.6,102.37,95.97,102.3,8037076
3/12/2020,99.07,102.67,95.25,96.34,9980826
3/11/2020,110.27,110.82,106.14,107.17,7627558
3/10/2020,111.21,113.37,107.37,113.37,10969640
3/9/2020,106.08,110.7,103.5,107.43,8414870
3/6/2020,112.89,115.27,112.17,114.65,8327470
3/5/2020,118.06,118.83,115.54,116.44,7299838
3/4/2020,118.74,121.05,117.45,120.95,7342410
3/3/2020,120.16,121.74,115.8,116.91,14774260
3/2/2020,116.18,119.82,114.55,119.81,9511225
2/28/2020,112.8,116,112.53,115.83,20617109
2/27/2020,119,121.48,116.52,116.58,17717160
2/26/2020,123.19,124.33,121.18,121.49,12360390
2/25/2020,126.92,127.19,122.17,122.46,14609930
2/24/2020,125.88,127.04,125.2,125.82,8753592
2/21/2020,131.74,131.88,129.96,130.3,6161330
2/20/2020,132.16,132.68,130.69,132.32,5416369
2/19/2020,132.15,132.73,132.08,132.27,2318071
2/18/2020,131.5,132.11,130.95,131.68,3370054
2/14/2020,132.14,132.3,131.33,131.69,2479787
2/13/2020,131.6,132.38,131.23,131.89,3553398
2/12/2020,131.43,132.192,131.41,132.12,3905516
2/11/2020,130.29,131.34,129.97,130.78,5507862
2/10/2020,128.21,129.77,128.21,129.76,2933621
2/7/2020,128.29,128.9199,127.79,128.31,3633784
2/6/2020,129.45,129.48,128.87,128.87,5519882
2/5/2020,129.36,129.5157,128.26,129.16,6677013
2/4/2020,128.06,128.94,127.77,128.51,8348620
2/3/2020,126.02,127.77,126.01,126.21,8082244
1/31/2020,127.56,127.73,125.06,125.32,8422254
1/30/2020,124.23,125.13,123.98,125,5230465
1/29/2020,125.69,126.18,125.12,125.21,2930064
1/28/2020,124.67,125.75,124.19,125.28,5907730
1/27/2020,123.23,124.71,122.99,124.07,7877101
1/24/2020,127.98,128.05,125.4,125.95,5690930
1/23/2020,126.89,127.89,126.24,127.73,3995908
1/22/2020,128.07,128.53,127.4302,127.54,3965084
1/21/2020,127.34,127.79,126.92,127.6,4001934
1/17/2020,127.88,128.17,127.73,127.99,6736581
1/16/2020,127.14,127.56,127.03,127.54,4349534
1/15/2020,126.35,126.85,126.1,126.41,3261867
1/14/2020,126.54,127.105,126.34,126.7,4340641
1/13/2020,126.6,126.94,126.24,126.74,3224515
1/10/2020,127.19,127.19,126.21,126.34,3703568
1/9/2020,127.03,127.49,126.71,127.03,3821496
1/8/2020,125.87,127.05,125.75,126.36,4725972
1/7/2020,126.1,126.27,125.45,125.98,9151127
1/6/2020,124.91,126.21,124.75,126.18,6411570
1/3/2020,125.3,126.2,125.22,125.83,5596424
1/2/2020,126.21,126.91,125.72,126.91,6290687
12/31/2019,125.03,125.48,124.85,125.42,1783733
12/30/2019,126.16,126.2999,124.97,125.24,3338723
12/27/2019,126.47,126.73,125.89,126.05,2958904
12/26/2019,124.91,126.06,124.775,126.06,2517945
12/24/2019,124.43,124.69,124.2601,124.54,1648079
12/23/2019,124.82,124.8399,124.26,124.26,3164156
12/20/2019,124.83,124.83,124.4,124.55,3336820
12/19/2019,124.29,124.87,124.115,124.77,3246544
12/18/2019,124.6,124.71,124.15,124.38,2639175
12/17/2019,123.92,124.42,123.87,124.26,3409613
12/16/2019,123.81,124,123.51,123.71,3646828
12/13/2019,123.05,123.38,122.54,123.17,3562364
12/12/2019,122.21,123.36,122.06,123.06,4613189
12/11/2019,121.59,122.06,121.36,121.99,2049670
12/10/2019,121.93,122.16,121.51,121.68,2179953
12/9/2019,121.65,122.325,121.5,121.89,2149393
12/6/2019,121.66,122.04,121.65,121.74,2515613
12/5/2019,121.34,121.34,120.51,120.77,2352313
12/4/2019,120.69,121.32,120.63,120.89,2829149
12/3/2019,120.36,120.4217,119.55,120.22,4525809
12/2/2019,122.54,122.6644,121.185,121.44,3594792
11/29/2019,123.33,123.39,122.32,122.45,1755092
11/27/2019,122.58,123.295,122.43,123.25,4213043
11/26/2019,121.33,122.28,121.2306,122.2,3774556
11/25/2019,120.86,121.39,120.7709,121.37,3814210
11/22/2019,119.96,120.35,119.72,120.31,2385165
11/21/2019,120.27,120.49,119.4401,119.49,2587194
11/20/2019,120.78,120.97,119.6,120.17,4428263
