Description,Ticker,Field ID,Field Mnemonic,Data State,4/1/2020,3/1/2020,2/1/2020,1/1/2020,12/1/2019,11/1/2019,10/1/2019,9/1/2019,8/1/2019,7/1/2019,6/1/2019
Top Data Point Is Latest Period Available,,,,Static,,,,,,,,,,,
Until Final Month Has Reported,,,,Static,,,,,,,,,,,
,,,,Static,,,,,,,,,,,
Dollar Volume Growth,,,,Heading,,,,,,,,,,,
    Total Overall Growth (All Industries),DVG TSTO Index,PR005,PX_LAST,Dynamic,-38.92723379,-17.35383738,1.808928909,3.479499296,3.488737605,2.371351174,2.500769086,1.933993108,2.648401985,2.093970589,1.328913842
    Total Retail Growth,DVG RSTO Index,PR005,PX_LAST,Dynamic,-45.48003884,-18.6637874,1.371663122,2.322216296,3.42097729,0.921450712,1.908564042,1.165125715,2.014566524,1.129015261,1.492756375
    Grocery Stores,DVG GROC Index,PR005,PX_LAST,Dynamic,14.6320446,27.24692141,7.74962513,2.794552145,4.389109173,4.601205731,5.075165824,4.723168231,4.971542581,5.357216399,4.090101318
    Men’s and Boy’s Clothing Stores,DVG MENS Index,PR005,PX_LAST,Dynamic,,,-3.918820562,1.600512768,-2.989499373,-1.380429658,-0.011885646,-2.838558285,-3.835103561,-2.582632572,-0.593696505
    Women’s Accessory/Specialty Stores,DVG WMEN Index,PR005,PX_LAST,Dynamic,,,2.654696617,6.3996103,5.884889858,-1.55467499,0.800967183,2.428030024,1.530056452,-0.617847875,-0.304117328
    Children’s and Infant’s Wear Stores,DVG CHLD Index,PR005,PX_LAST,Dynamic,,,-7.743687756,-3.865806966,3.650460783,-8.732011711,-5.200468193,-2.596634008,3.559721328,-2.647168633,0.006629051
    Family Clothing Stores,DVG FMLY Index,PR005,PX_LAST,Dynamic,,,-1.21386543,3.170604952,1.481462225,0.97301853,0.996224445,0.310951845,2.463787753,2.479748887,5.925800904
    Sports Apparel/Riding Apparel Stores,DVG SAPR Index,PR005,PX_LAST,Dynamic,,,2.011939979,3.870542428,5.272467805,0.941034336,-2.285587463,-3.69006031,-1.383886302,-0.836473196,-0.360813355
    Men’s and Women’s Clothing Stores,DVG MNWO Index,PR005,PX_LAST,Dynamic,,,0.587220627,1.383068748,4.37559375,3.759624843,3.265644737,-2.130440584,0.026947416,1.662859305,2.104121336
    Other,,,,Static,,,,,,,,,,,
        Freezer and Locker Meat Provisioners,DVG FREZ Index,PR005,PX_LAST,Dynamic,-3.804235654,6.902672748,8.036591788,2.481063331,4.760387817,4.885895944,4.881049916,7.324938383,5.613002941,7.367873292,7.125684573
        Candy Stores,DVG CNDY Index,PR005,PX_LAST,Dynamic,-64.82087656,-35.97570042,3.802546133,3.453221214,6.531635543,-4.148533924,6.087667511,2.887986711,2.884278249,0.540944371,2.616363094
